,Date,PitcherID,Pitcher,G,GS,IP,H,K,BB,R,HR
295,3/30/2024,579328,Yusei Kikuchi,1,1,4.1,6,4,3,3,1
296,3/30/2024,641755,Tyler Kinley,1,0,1,1,1,1,0,0
297,3/30/2024,552640,Andrew Kittredge,1,0,1,0,1,0,0,0
298,3/30/2024,663568,Stephen Kolek,1,0,1,0,1,0,0,0
299,3/30/2024,663567,Peter Lambert,1,0,1,1,0,2,0,0
300,3/30/2024,656638,Alex Lange,1,0,0.1,0,1,3,0,0
301,3/30/2024,571882,Derek Law,1,0,1.2,1,2,0,0,0
302,3/30/2024,664875,Justin Lawrence,1,0,1,0,0,1,0,0
303,3/30/2024,673929,Jordan Leasure,1,0,1,1,1,1,0,0
304,3/30/2024,669276,Dylan Lee,1,0,2,0,1,1,0,0
305,3/30/2024,608678,Dominic Leone,1,0,0.1,2,0,0,2,1
306,3/30/2024,669461,Matthew Liberatore,1,0,2,3,2,2,2,0
307,3/30/2024,641793,Zack Littell,1,1,6,4,6,2,0,0
308,3/30/2024,681432,Luke Little,1,0,1,1,1,0,0,0
309,3/30/2024,605347,Jorge L\xc3\xb3pez,1,0,0.2,0,1,1,0,0
310,3/30/2024,607625,Seth Lugo,1,1,6,2,4,1,0,0
311,3/30/2024,458681,Lance Lynn,1,1,4,4,5,1,0,0
312,3/30/2024,628317,Kenta Maeda,1,1,3.1,7,2,1,6,3
313,3/30/2024,628708,Yunior Marte,1,0,1,0,0,1,0,0
314,3/30/2024,455119,Chris Martin,1,0,1,1,1,0,0,0
315,3/30/2024,661527,Seth Martinez,1,0,1,1,0,0,0,0
316,3/30/2024,664208,Phil Maton,1,0,0.1,0,0,0,0,0
317,3/30/2024,554431,Tyler Matzek,1,0,1.1,2,0,0,0,0
318,3/30/2024,641835,Tim Mayza,1,0,1,1,1,1,1,0
319,3/30/2024,663704,James McArthur,1,0,1,2,1,0,1,0
320,3/30/2024,519008,T.J. McFarland,1,0,1,4,1,0,2,0
321,3/30/2024,683232,Nick Mears,1,0,1,0,1,0,0,0
322,3/30/2024,656730,Trevor Megill,1,0,1,2,3,0,0,0
