PitcherID,Pitcher,GS,IP,K,BB,GS2,GSD,GSQ
630023,Yonny Chirinos,2,9.1,9,2,29.0,11.313708498984761,2.5632620818012346
623167,Chris Flexen,2,12.0,7,2,30.0,5.656854249492381,5.303300858899106
640455,Sean Manaea,2,13.0,11,5,51.5,3.5355339059327378,14.566399692442879
657277,Logan Webb,2,14.0,12,4,45.0,1.0,45.0
641154,Pablo L\xc3\xb3pez,2,11.0,15,3,35.5,17.67766952966369,2.0081832585697947
657746,Joe Ryan,2,10.4,18,1,46.0,9.899494936611665,4.6467017049401695
628317,Kenta Maeda,2,8.3,7,4,15.5,24.748737341529164,0.6262945776223706
641482,Nestor Cortes,2,10.1,13,2,37.5,16.263455967290593,2.3057829821300464
642547,Freddy Peralta,2,11.0,12,5,39.5,17.67766952966369,2.23445742854949
656849,David Peterson,2,10.2,7,3,34.5,4.949747468305833,6.970052557410254
661563,Luis Gil,2,10.2,12,3,40.0,18.384776310850235,2.175713172881685
663362,Matt Waldron,2,10.1,9,3,27.5,10.606601717798213,2.592724864350674
656605,Mitch Keller,2,13.0,11,0,29.5,20.506096654409877,1.4385965548278037
625643,Reynaldo L\xc3\xb3pez,2,10.1,12,7,39.0,21.213203435596427,1.8384776310850235
656557,Tanner Houck,2,7.199999999999999,5,5,16.0,26.870057685088806,0.5954583420518295
624133,Ranger Su\xc3\xa1rez,2,9.2,7,4,13.0,8.48528137423857,1.5320646925708532
663372,Ryan Feltner,2,12.0,9,5,44.5,7.7781745930520225,5.721136684145703
663559,Bailey Falter,2,7.0,7,6,35.0,14.142135623730951,2.4748737341529163
656302,Dylan Cease,2,10.2,13,3,21.5,20.506096654409877,1.048468675552467
641712,Dakota Hudson,2,9.2,7,8,22.5,2.1213203435596424,10.606601717798213
663623,Jake Irvin,2,14.0,13,4,57.0,15.556349186104045,3.6640987752393825
622663,Luis Severino,2,13.0,6,3,14.0,19.79898987322333,0.7071067811865476
527048,Mart\xc3\xadn P\xc3\xa9rez,2,11.1,6,3,28.0,22.627416997969522,1.2374368670764582
663903,Brady Singer,2,12.0,11,5,46.5,3.5355339059327378,13.152186130069783
664285,Framber Valdez,2,10.2,9,5,27.0,5.656854249492381,4.772970773009195
676979,Garrett Crochet,2,11.0,16,3,45.5,14.849242404917497,3.064129385141706
677944,Slade Cecconi,2,8.2,9,3,30.0,8.48528137423857,3.5355339059327378
679525,Alec Marsh,2,9.0,6,5,26.5,21.920310216782973,1.2089244968673232
680570,Grayson Rodriguez,2,12.1,16,5,48.5,7.7781745930520225,6.235396161372283
680573,Simeon Woods Richardson,2,11.2,8,4,37.5,12.020815280171307,3.1195887405288865
680885,Spencer Schwellenbach,2,11.0,13,2,35.5,16.263455967290593,2.1828078897497774
681035,Christian Scott,2,10.4,5,3,35.5,13.435028842544403,2.6423463928549933
681190,Randy V\xc3\xa1squez,2,10.1,7,2,38.0,1.0,38.0
681293,Spencer Arrighetti,2,9.0,11,6,22.0,21.213203435596427,1.0370899457402696
681857,Reese Olson,2,11.2,17,5,46.0,1.4142135623730951,32.526911934581186
681869,Shawn Dubin,2,5.300000000000001,4,4,34.5,14.849242404917497,2.3233508524700848
682243,Bryce Miller,2,10.2,12,2,38.5,6.363961030678928,6.049691350151574
684007,Shota Imanaga,2,12.0,11,3,34.5,4.949747468305833,6.970052557410254
684320,Yariel Rodr\xc3\xadguez,2,12.2,12,4,54.0,5.656854249492381,9.54594154601839
686563,Jonathan Cannon,2,11.2,6,5,38.0,8.48528137423857,4.478342947514801
686613,Hunter Brown,2,12.0,11,4,32.0,29.698484809834994,1.0774960475223583
686730,Carson Spiers,2,10.2,7,3,26.5,26.16295090390226,1.012882686564514
687765,Mitch Spence,2,11.1,10,2,33.0,14.142135623730951,2.3334523779156067
687792,DJ Herz,2,9.3,14,2,39.5,13.435028842544403,2.940075563880908
689017,Landon Knack,2,8.3,13,1,30.5,17.67766952966369,1.7253405460951758
689672,Drew Thorpe,2,12.1,9,3,47.0,4.242640687119285,11.078006238589246
694297,Brandon Pfaadt,2,10.1,14,2,42.0,1.4142135623730951,29.698484809834994
694973,Paul Skenes,2,13.0,17,4,43.5,2.1213203435596424,20.50609665440988
700249,Cade Povich,2,6.0,4,3,11.0,26.870057685088806,0.4093776101606328
701581,David Festa,2,10.0,8,1,12.0,11.313708498984761,1.0606601717798212
676710,Kutter Crawford,2,13.0,11,0,53.5,4.949747468305833,10.808632226708655
676664,JP Sears,2,11.0,12,2,46.0,12.727922061357855,3.6141013260645765
676440,Tanner Bibee,2,10.2,9,2,34.0,1.4142135623730951,24.041630560342615
669203,Corbin Burnes,2,13.0,11,1,40.5,2.1213203435596424,19.091883092036785
665622,Luis Medina,2,11.0,8,6,41.5,6.363961030678928,6.521095870942605
